PSOC2012,Suggestion
123 - SPECIALIZED MANAGERS,"Converge-NASS, LUDECO, PLDT, LU Provincial Jail"
131 - GENERAL MANAGERS/MANAGING-PROPRIETORS,"Digital Room Inc., Tara Design - Baguio"
141 - SCHOOL SUPERVISORS AND PRINCIPALS,"LORMA CCSE, LORMA ITS, LORMA Registrar, LORMA Library"
149 - OTHER SUPERVISORS NOT ELSEWHERE CLASSIFIED,"DICT-CAR, DICT-RO1, DOST-RO1, PGLU-ICTU, and SFC-ICTO"
213 - COMPUTER PROFESSIONALS,"DICT-CAR, DICT-RO1, DOST-RO1, PGLU-ICTU, and SFC-ICTO"
215 - ENGINEERS AND RELATED PROFESSIONALS,"Converge-NASS, LUDECO, PLDT, LU Provincial Jail"
"231 - COLLEGE, UNIVERSITY AND HIGHER EDUCATION TEACHING PROFESSIONALS","LORMA CCSE, LORMA ITS, LORMA Registrar, LORMA Library"
235 - SPECIAL EDUCATION TEACHING PROFESSIONALS,"LORMA CCSE, LORMA ITS, LORMA Registrar, LORMA Library"
241 - BUSINESS PROFESSIONALS,"Digital Room Inc., Tara Design - Baguio"
312 - COMPUTER ASSISTANTS AND COMPUTER EQUIPMENT CONTROLLERS,"LORMA CCSE, LORMA ITS, LORMA Registrar, LORMA Library"
341 - FINANCE AND SALES ASSOCIATE PROFESSIONALS,"Digital Room Inc., Tara Design - Baguio"
342 - BUSINESS SERVICES AGENTS AND TRADE BROKERS,"Digital Room Inc., Tara Design - Baguio"
411 - SECRETARIES AND KEYBOARD-OPERATING CLERKS,"DENR-EMB1, DepEd LUSDO, LGU San Juan"
419 - OTHER OFFICE CLERKS ,"DENR-EMB1, DepEd LUSDO, LGU San Juan"
"421 - CASHIERS, TELLERS AND RELATED CLERKS","DENR-EMB1, DepEd LUSDO, LGU San Juan"
516 - PROTECTIVE SERVICES WORKERS,"FilDev, Fujitsu, HyTec, Mitsubishi"
"724 - ELECTRICIANS, ELECTRICAL AND ELECTRONIC EQUIPMENT MECHANICS AND FITTERS ","FilDev, Fujitsu, HyTec, Mitsubishi"
821 - METAL- AND MINERAL-PRODUCTS MACHINE OPERATORS,"FilDev, Fujitsu, HyTec, Mitsubishi"
